speed,timestamp,waypoints,ego_bbox,npc_bbox,npc_forward
2.0,45.371393132954836,"[[46.028392184148196, -156.24699209019377], [46.0269940234619, -156.23037898868625], [46.07203951006894, -157.00309838247298], [46.09988807500718, -158.41780648086092]]","[[156.2783966064453, 44.21660614013672], [158.40594482421875, 44.2741584777832], [156.41094970703125, 39.316715240478516], [158.5384979248047, 39.374267578125]]","[[157.7669677734375, 37.389835357666016], [157.7668914794922, 37.0173225402832], [156.12411499023438, 37.39015579223633], [156.12405395507812, 37.01763916015625]]","[-0.999998152256012, 0.00019470018742140383]"
2.0,45.47139313444495,"[[46.02063080788844, -156.21788575434036], [46.0122368099616, -156.22123069803234], [46.063667933817065, -156.77431307070214], [46.10485260152303, -157.67001682744157]]","[[156.2783966064453, 44.21659469604492], [158.40594482421875, 44.274147033691406], [156.41094970703125, 39.31670379638672], [158.5384979248047, 39.3742561340332]]","[[157.5889434814453, 37.389854431152344], [157.58889770507812, 37.017337799072266], [155.9461212158203, 37.39005661010742], [155.94607543945312, 37.017539978027344]]","[-0.9999836087226868, 0.00012245771358720958]"
2.0,45.57139313593507,"[[46.01847913745563, -156.22457203815594], [46.006913153285, -156.20650805196078], [46.061612213122054, -156.8116585283116], [46.1074673336584, -157.8626558008873]]","[[156.2783966064453, 44.216590881347656], [158.40594482421875, 44.27414321899414], [156.41094970703125, 39.31669998168945], [158.5384979248047, 39.37425231933594]]","[[157.38792419433594, 37.38988494873047], [157.38790893554688, 37.01736831665039], [155.74513244628906, 37.38992691040039], [155.74513244628906, 37.01741027832031]]","[-0.9999623894691467, 2.470718027325347e-05]"
2.0,45.671393137425184,"[[46.02430455617412, -156.2389455327671], [46.0238647197023, -156.21833610031842], [46.07793539383216, -156.94369475946476], [46.11672936264477, -158.26039522543033]]","[[156.2783966064453, 44.21658706665039], [158.40594482421875, 44.274139404296875], [156.41094970703125, 39.31669616699219], [158.5384979248047, 39.37424850463867]]","[[157.16302490234375, 37.389862060546875], [157.16302490234375, 37.0173454284668], [155.520263671875, 37.38985061645508], [155.52027893066406, 37.017333984375]]","[-0.9999481439590454, -5.634330591419712e-06]"
2.0,45.7713931389153,"[[46.02920452589633, -156.25359282441394], [46.027311356432286, -156.2009534560775], [46.07700576849992, -156.92860215795002], [46.10780273182338, -158.33459092091456]]","[[156.2783966064453, 44.21657943725586], [158.40594482421875, 44.27413558959961], [156.41094970703125, 39.316688537597656], [158.5384979248047, 39.374244689941406]]","[[156.93511962890625, 37.38986587524414], [156.9351348876953, 37.01734924316406], [155.29232788085938, 37.38977813720703], [155.29234313964844, 37.01726150512695]]","[-0.9999712705612183, -5.1886334404116496e-05]"
2.0,45.87139314040542,"[[46.03347803432718, -156.24732150083835], [46.037544161608466, -156.21805870006537], [46.08918314048901, -157.00675712178827], [46.1192634378667, -158.48482503057292]]","[[156.2783966064453, 44.21657943725586], [158.40594482421875, 44.27413558959961], [156.41094970703125, 39.316688537597656], [158.5384979248047, 39.374244689941406]]","[[156.7329864501953, 37.38985824584961], [156.73300170898438, 37.01734161376953], [155.09014892578125, 37.3897705078125], [155.0901641845703, 37.01725387573242]]","[-0.9999956488609314, -5.1887600420741364e-05]"
2.0,45.97139314189553,"[[46.021252183863126, -156.25953900915312], [46.02457918150875, -156.22505849680766], [46.08704694342552, -157.04699234622714], [46.125790999061, -158.63784477746032]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[156.56021118164062, 37.38984680175781], [156.5602264404297, 37.017330169677734], [154.9173583984375, 37.3897590637207], [154.91738891601562, 37.017242431640625]]","[-0.9999999403953552, -5.18878223374486e-05]"
2.0,46.07139314338565,"[[46.02697647498468, -156.26398206904557], [46.031233336864794, -156.22884710421292], [46.08915759151774, -157.04058848975353], [46.12439982094425, -158.60352565098236]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[156.4038848876953, 37.38985824584961], [156.40391540527344, 37.01734161376953], [154.7610321044922, 37.38971710205078], [154.7610626220703, 37.0172004699707]]","[-0.9999999403953552, -8.693535346537828e-05]"
2.0,46.171393144875765,"[[46.0268069220094, -156.2718147740632], [46.03137327758993, -156.23313678072108], [46.08901332652996, -157.04603712218042], [46.122914711648946, -158.62653775150144]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[156.23861694335938, 37.3901252746582], [156.23878479003906, 37.017608642578125], [154.5957794189453, 37.389404296875], [154.595947265625, 37.01688766479492]]","[-0.9999921321868896, -0.00043836093391291797]"
2.0,46.27139314636588,"[[46.01958387367601, -156.25050792161], [46.02957210403728, -156.25352241937497], [46.09030761862403, -157.1615553679778], [46.127637491576365, -158.83287063034345]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[156.0537872314453, 37.390052795410156], [156.05392456054688, 37.01753616333008], [154.41098022460938, 37.389461517333984], [154.41111755371094, 37.016944885253906]]","[-0.9999729990959167, -0.00035919967922382057]"
